,train,val,test
normal_072,True,False,False
normal_154,True,False,False
test_082,False,False,True
tumor_006,True,False,False
tumor_004,True,False,False
test_027,False,False,True
test_007,False,False,True
normal_043,True,False,False
normal_144,True,False,False
test_089,False,False,True
normal_116,True,False,False
tumor_086,True,False,False
normal_159,True,False,False
normal_050,True,False,False
normal_098,True,False,False
test_063,False,False,True
normal_038,True,False,False
test_017,False,False,True
test_052,False,False,True
tumor_055,True,False,False
test_104,False,False,True
test_057,False,False,True
tumor_049,True,False,False
test_055,False,False,True
test_117,False,False,True
normal_035,True,False,False
test_032,False,False,True
tumor_098,True,False,False
tumor_044,True,False,False
tumor_068,True,False,False
normal_120,True,False,False
test_011,False,False,True
normal_053,True,False,False
tumor_069,False,True,False
test_105,False,False,True
normal_127,False,True,False
test_106,False,False,True
tumor_072,True,False,False
tumor_075,True,False,False
normal_001,True,False,False
test_116,False,False,True
tumor_036,True,False,False
normal_112,True,False,False
test_075,False,False,True
normal_151,True,False,False
tumor_003,True,False,False
tumor_108,True,False,False
test_090,False,False,True
tumor_111,True,False,False
test_019,False,False,True
test_051,False,False,True
tumor_002,True,False,False
test_002,False,False,True
tumor_022,True,False,False
test_128,False,False,True
normal_071,True,False,False
normal_019,True,False,False
tumor_016,True,False,False
normal_064,True,False,False
normal_105,True,False,False
normal_037,True,False,False
test_001,False,False,True
normal_045,True,False,False
normal_101,True,False,False
normal_081,True,False,False
normal_040,True,False,False
normal_130,True,False,False
test_025,False,False,True
test_013,False,False,True
test_040,False,False,True
tumor_077,True,False,False
test_101,False,False,True
test_095,False,False,True
tumor_038,True,False,False
normal_118,True,False,False
normal_138,True,False,False
normal_141,False,True,False
normal_134,True,False,False
test_059,False,False,True
test_008,False,False,True
normal_039,True,False,False
normal_036,True,False,False
normal_002,True,False,False
normal_102,True,False,False
test_123,False,False,True
test_125,False,False,True
normal_082,True,False,False
tumor_090,True,False,False
test_109,False,False,True
normal_013,True,False,False
test_044,False,False,True
normal_117,False,True,False
normal_073,False,True,False
normal_011,True,False,False
test_100,False,False,True
test_020,False,False,True
tumor_009,True,False,False
normal_104,True,False,False
normal_024,True,False,False
tumor_042,True,False,False
tumor_065,True,False,False
test_098,False,False,True
tumor_084,True,False,False
test_014,False,False,True
tumor_091,True,False,False
test_108,False,False,True
normal_004,True,False,False
test_016,False,False,True
normal_085,True,False,False
normal_057,True,False,False
tumor_012,True,False,False
tumor_087,False,True,False
test_092,False,False,True
tumor_071,True,False,False
test_021,False,False,True
tumor_063,True,False,False
tumor_026,True,False,False
normal_122,True,False,False
normal_158,True,False,False
tumor_085,True,False,False
test_071,False,False,True
tumor_028,True,False,False
normal_089,True,False,False
tumor_104,True,False,False
tumor_033,True,False,False
test_069,False,False,True
test_073,False,False,True
test_054,False,False,True
test_066,False,False,True
tumor_043,True,False,False
test_050,False,False,True
normal_069,True,False,False
tumor_037,True,False,False
tumor_020,True,False,False
normal_075,True,False,False
test_103,False,False,True
test_083,False,False,True
test_120,False,False,True
normal_006,False,True,False
normal_029,False,True,False
normal_025,True,False,False
tumor_025,True,False,False
test_084,False,False,True
normal_090,True,False,False
normal_065,True,False,False
tumor_024,True,False,False
test_072,False,False,True
test_035,False,False,True
normal_095,True,False,False
normal_055,True,False,False
test_038,False,False,True
test_094,False,False,True
normal_007,True,False,False
normal_107,True,False,False
normal_042,True,False,False
tumor_080,False,True,False
normal_061,True,False,False
test_111,False,False,True
normal_026,True,False,False
normal_113,False,True,False
test_077,False,False,True
normal_051,True,False,False
normal_155,True,False,False
normal_044,True,False,False
normal_121,False,True,False
normal_058,True,False,False
test_121,False,False,True
normal_083,True,False,False
tumor_106,True,False,False
normal_041,True,False,False
tumor_078,True,False,False
test_080,False,False,True
normal_076,True,False,False
tumor_056,True,False,False
tumor_035,True,False,False
normal_066,True,False,False
tumor_059,True,False,False
tumor_094,True,False,False
normal_014,True,False,False
normal_023,True,False,False
tumor_034,True,False,False
normal_110,False,True,False
test_114,False,False,True
tumor_023,True,False,False
normal_070,True,False,False
tumor_013,True,False,False
normal_148,True,False,False
tumor_048,True,False,False
tumor_053,True,False,False
test_004,False,False,True
test_086,False,False,True
test_030,False,False,True
test_026,False,False,True
test_046,False,False,True
normal_027,True,False,False
test_070,False,False,True
tumor_097,True,False,False
tumor_095,False,True,False
test_029,False,False,True
test_003,False,False,True
normal_123,True,False,False
test_028,False,False,True
tumor_109,True,False,False
tumor_060,True,False,False
test_043,False,False,True
normal_150,True,False,False
normal_067,True,False,False
tumor_101,True,False,False
normal_143,True,False,False
normal_087,True,False,False
normal_152,True,False,False
tumor_083,True,False,False
test_005,False,False,True
test_018,False,False,True
normal_096,True,False,False
test_048,False,False,True
normal_157,True,False,False
tumor_041,True,False,False
tumor_029,True,False,False
tumor_089,True,False,False
normal_142,True,False,False
test_091,False,False,True
test_036,False,False,True
tumor_074,True,False,False
test_118,False,False,True
tumor_092,True,False,False
normal_033,False,True,False
tumor_110,True,False,False
normal_126,False,True,False
normal_133,True,False,False
tumor_045,True,False,False
normal_080,True,False,False
normal_031,True,False,False
tumor_076,True,False,False
normal_092,True,False,False
normal_078,True,False,False
test_085,False,False,True
tumor_017,True,False,False
normal_106,False,True,False
tumor_102,True,False,False
test_065,False,False,True
normal_017,True,False,False
test_099,False,False,True
tumor_093,True,False,False
normal_109,True,False,False
tumor_103,True,False,False
test_130,False,False,True
test_060,False,False,True
test_074,False,False,True
normal_094,True,False,False
normal_034,True,False,False
test_064,False,False,True
normal_054,True,False,False
normal_021,False,True,False
normal_062,True,False,False
test_096,False,False,True
test_010,False,False,True
normal_147,True,False,False
normal_160,True,False,False
test_088,False,False,True
tumor_070,True,False,False
tumor_051,True,False,False
test_023,False,False,True
test_102,False,False,True
tumor_081,True,False,False
test_113,False,False,True
tumor_105,True,False,False
test_024,False,False,True
test_112,False,False,True
normal_052,True,False,False
normal_056,True,False,False
normal_135,True,False,False
normal_046,True,False,False
normal_074,True,False,False
normal_048,True,False,False
normal_124,True,False,False
normal_068,True,False,False
tumor_019,True,False,False
test_068,False,False,True
test_045,False,False,True
normal_100,True,False,False
normal_119,False,True,False
normal_010,False,True,False
normal_032,True,False,False
tumor_031,True,False,False
test_009,False,False,True
normal_084,False,True,False
tumor_010,True,False,False
normal_108,True,False,False
test_097,False,False,True
tumor_099,True,False,False
tumor_066,True,False,False
tumor_067,True,False,False
test_122,False,False,True
normal_016,True,False,False
test_127,False,False,True
normal_049,True,False,False
test_087,False,False,True
normal_022,True,False,False
tumor_054,True,False,False
tumor_096,True,False,False
normal_137,True,False,False
normal_115,False,True,False
test_081,False,False,True
test_039,False,False,True
test_093,False,False,True
test_015,False,False,True
normal_129,True,False,False
test_124,False,False,True
tumor_050,True,False,False
test_062,False,False,True
normal_149,True,False,False
tumor_064,True,False,False
test_031,False,False,True
tumor_001,True,False,False
normal_047,True,False,False
normal_136,True,False,False
normal_063,True,False,False
tumor_005,True,False,False
test_067,False,False,True
normal_077,True,False,False
normal_111,False,True,False
tumor_011,True,False,False
test_107,False,False,True
test_061,False,False,True
normal_114,True,False,False
tumor_039,True,False,False
normal_015,False,True,False
test_119,False,False,True
test_126,False,False,True
tumor_032,False,True,False
normal_008,True,False,False
normal_018,True,False,False
tumor_073,True,False,False
normal_091,True,False,False
tumor_021,True,False,False
tumor_082,True,False,False
normal_145,True,False,False
test_079,False,False,True
tumor_107,True,False,False
normal_028,True,False,False
test_110,False,False,True
tumor_062,True,False,False
normal_005,True,False,False
tumor_030,True,False,False
tumor_008,True,False,False
normal_097,True,False,False
tumor_057,True,False,False
test_022,False,False,True
normal_099,False,True,False
normal_139,True,False,False
test_034,False,False,True
tumor_046,True,False,False
normal_140,True,False,False
normal_103,True,False,False
test_033,False,False,True
tumor_007,True,False,False
normal_079,True,False,False
normal_132,True,False,False
normal_020,True,False,False
normal_125,True,False,False
normal_156,True,False,False
test_078,False,False,True
normal_012,True,False,False
test_053,False,False,True
normal_060,True,False,False
normal_153,True,False,False
normal_093,True,False,False
tumor_027,True,False,False
test_012,False,False,True
normal_030,True,False,False
test_115,False,False,True
tumor_014,True,False,False
tumor_079,True,False,False
tumor_052,True,False,False
normal_146,True,False,False
tumor_018,True,False,False
test_056,False,False,True
test_058,False,False,True
normal_128,True,False,False
tumor_061,True,False,False
test_041,False,False,True
normal_059,True,False,False
test_042,False,False,True
test_129,False,False,True
tumor_088,True,False,False
tumor_040,True,False,False
tumor_058,True,False,False
normal_009,True,False,False
normal_003,True,False,False
test_006,False,False,True
test_047,False,False,True
normal_088,False,True,False
test_076,False,False,True
normal_131,True,False,False
tumor_100,True,False,False
tumor_047,True,False,False
tumor_015,False,True,False
test_037,False,False,True
